,,,,,,,,,,,,,,,,,,,,,,,
,Code,,Action,,,,,Member,,Member,,Member,,,,,,Service,,Admin,,,
,,,,,,,,,,,,,,,,,,,,,,,
,MEM,,Member Create and Manage,,,,,,,,,,,,,,,X,,X,,,
,UNC,,Member User Name Create,,,,,,,,,,,,,,,X,,X,,,
,UNM,,Member User Name Modify,,,,,X,,X,,X,,,,,,X,,X,,,
,PWC,,Member Password Create,,,,,X,,X,,X,,,,,,X,,X,,,
,PWM,,Member Password Modify,,,,,X,,X,,X,,,,,,X,,X,,,
,TEM,,Teacher Create and Manage,,,,,X,,X,,X,,,,,,X,,X,,,
,TUM,,Teacher User Name Modify,,,,,X,,X,,X,,X,,,,X,,X,,,
,TPM,,Teacher Password Modify,,,,,X,,X,,X,,X,,,,X,,X,,,
,STM,,Student Create and Manage,,,,,X,,X,,X,,X,,,,X,,X,,,
,SUM,,Student User Name Modify,,,,,X,,X,,X,,X,,,,X,,X,,,
,SPM,,Student Password Modify,,,,,X,,X,,X,,X,,X,,X,,X,,,
,CCW,,Community Write,,,,,X,,X,,X,,X,,,,X,,X,,,
,CCR,,Community Read,,,,,X,,X,,X,,X,,,,x,,x,,,
,CLR,,Content Library Read,,,,,X,,X,,X,,X,,?,,X,,X,,,
,CLE,,Content Library Edit,,,,,?,,?,,?,,,,,,X,,X,,,
,NLC,,Newsletter Create,,,,,,,,,,,,,,,X,,X,,,
,NLR,,Newsletter Read,,,,,X,,X,,X,,,,,,X,,X,,,
,SUB,,Subscription Management,,,,,,,,,,,,,,,X,,X,,,
,SPM,,Suspend Management,,,,,,,X,,X,,,,,,X,,X,,,
,NUM,,Number of Students Mgmt,,,,,,,X,,X,,,,,,X,,X,,,
,UPU,,Upload Utility Use,,,,,,,,,X,,,,,,X,,X,,,
,SPA,,Sponsor Code Use,,,,,,,,,X,,,,,,X,,X,,,
,SRC,,Student Resource Cen Access,,,,,X,,X,,X,,X,,X,,X,,X,,,
,TRC,,Teacher Resource Cen Access,,,,,X,,X,,X,,X,,,,X,,X,,,
,MDA,,Member Dash Board Access,,,,,X,,X,,X,,,,,,X,,X,,,
,PLA,,Play Games,,,,,,,,,,,,,,,,,,,,
,REF,,Refund Payments,,,,,,,,,,,,,,,X,,X,,,
,SQC,,Named Sequence Creation,,,,,,,,,,,,,,,,,X,,,
,SQM,,Named Sequence Modify,,,,,,,,,,,,,,,,,X,,,
,LEC,,Learning Element Creation,,,,,,,,,,,,,,,,,X,,,
,TBU,,Table Direct Update,,,,,,,,,,,,,,,,,X,,,
,RPC,,Create User Report,,,,,,,,,,,,,,,,,X,,,
,RPU,,User Report Run,,,,,X,,X,,X,,,,,,X,,X,,,
,MRC,,Management Report Creation,,,,,,,,,,,,,,,,,X,,,
,MRR,,Management Report Run,,,,,,,,,,,,,,,X,,X,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,480,Promotion Code Table,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Promo,,,Promo Code Name,,,,# of,,# of,,Amount of,,Code,,Code,,Comments,,,,,
,Code,,,,,,,Students,,Days,,Discount,,Start Date,,End Date,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,TRIAL,,,Prelude Trial,,,,15,,30,,100%,,1-Jan-18,,,,Normal free trial,,,,,
,HS318A,,,Home School Buyers,,,,5,,365,,100%,,1-Jan-18,,,,Payment direct from HSBC,,,,,
,MTNA18,,,MTNA Conference,,,,,,365,,10%,,15-Mar-18,,18-Apr-19,,Discount of 10% for first year,,,,,
,NCKP19,,,NCKP Conference,,,,,,365,,10%,,20-Jul-19,,1-Sep-20,,Discount of 10% for first year,,,,,
,LINK18,,,Music Link Foundation,,,,,,,,25%,,1-Jul-19,,,,Recurring discount to Link Members,,,,,
,FMEA18,,,Florida MEA,,,,,,365,,,,1-Jan-18,,,,Discount of 10% for first year,,,,,
,TMEA18,,,Texas MEA,,,,,,365,,,,1-Jan-18,,,,Discount of 10% for first year,,,,,
,KORG18,,,KORG Keyboards,,,,,,,,,,,,,,,,,,,
,ML101,,,Bill Auto Sign,,,,,,,,,,1-Jan-18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Use of a promotion code overrides the subscription criteria and replaces it with any value in the,,,,,,,,,,,,,,,,,,,,
,,,corresponding column of the promotion code table.  Each code is active from the start date until ,,,,,,,,,,,,,,,,,,,,
,,,the end date (if given).  ,,,,,,,,,,,,,,,,,,,,
